Ticker,Date,Time,LTP,BuyPrice,BuyQty,SellPrice,SellQty,LTQ,OpenInterest
ABCAPITAL-I.NFO,12/09/2022,09:29:38,115.6,115.55,10800,115.6,5400,0,23976000
ABCAPITAL-I.NFO,12/09/2022,09:29:57,115.7,115.55,10800,115.75,10800,10800,23959800
ABCAPITAL-I.NFO,12/09/2022,09:30:17,115.7,115.55,10800,115.75,10800,10800,23959800
ABCAPITAL-I.NFO,12/09/2022,09:30:37,115.7,115.6,5400,115.75,21600,0,23959800
ABCAPITAL-I.NFO,12/09/2022,09:31:15,115.7,115.6,10800,115.75,10800,0,23959800
ABCAPITAL-I.NFO,12/09/2022,09:31:34,115.75,115.7,10800,115.8,10800,10800,23959800
ABCAPITAL-I.NFO,12/09/2022,09:31:52,115.7,115.65,5400,115.7,5400,10800,23959800
ABCAPITAL-I.NFO,12/09/2022,09:32:10,115.65,115.6,10800,115.75,5400,5400,23959800
ABCAPITAL-I.NFO,12/09/2022,09:32:30,115.65,115.6,16200,115.75,10800,10800,23959800
ABCAPITAL-I.NFO,12/09/2022,09:32:48,115.75,115.6,16200,115.75,5400,5400,23965200
ABCAPITAL-I.NFO,12/09/2022,09:33:07,115.75,115.65,5400,115.75,5400,0,23965200
ABCAPITAL-I.NFO,12/09/2022,09:33:25,115.75,115.75,5400,115.95,16200,0,23965200
ABCAPITAL-I.NFO,12/09/2022,09:33:45,115.75,115.75,5400,115.95,5400,0,23965200
ABCAPITAL-I.NFO,12/09/2022,09:34:18,115.75,115.75,5400,115.9,16200,0,23965200
ABCAPITAL-I.NFO,12/09/2022,09:34:44,115.75,115.75,5400,115.85,5400,0,23965200
ABCAPITAL-I.NFO,12/09/2022,09:35:05,115.85,115.8,10800,116,5400,21600,23965200
ABCAPITAL-I.NFO,12/09/2022,09:35:27,115.85,115.8,10800,116,5400,0,23965200
ABCAPITAL-I.NFO,12/09/2022,09:35:49,115.85,115.85,5400,116.05,5400,0,23965200
ABCAPITAL-I.NFO,12/09/2022,09:36:07,116,115.85,5400,116.05,10800,5400,23965200
ABCAPITAL-I.NFO,12/09/2022,09:36:26,116,115.9,5400,116.1,5400,0,23965200
ABCAPITAL-I.NFO,12/09/2022,09:37:03,116,116,10800,116.2,5400,0,23965200
ABCAPITAL-I.NFO,12/09/2022,09:37:35,116,116,16200,116.2,16200,0,23965200
ABCAPITAL-I.NFO,12/09/2022,09:38:01,116,116,16200,116.15,10800,0,23965200
ABCAPITAL-I.NFO,12/09/2022,09:38:21,116,116,10800,116.15,10800,0,23965200
ABCAPITAL-I.NFO,12/09/2022,09:38:41,116,116,16200,116.15,10800,0,23965200
ABCAPITAL-I.NFO,12/09/2022,09:38:59,116.15,116.05,5400,116.25,5400,16200,23965200
ABCAPITAL-I.NFO,12/09/2022,09:39:19,116.15,116.1,5400,116.25,10800,0,23965200
ABCAPITAL-I.NFO,12/09/2022,09:39:38,116.15,116.1,10800,116.25,10800,0,23965200
ABCAPITAL-I.NFO,12/09/2022,09:39:58,116.15,116.15,5400,116.25,16200,0,23965200
ABCAPITAL-I.NFO,12/09/2022,09:40:17,116.15,116.15,5400,116.25,10800,0,23965200
ABCAPITAL-I.NFO,12/09/2022,09:40:36,116.25,116.2,10800,116.4,16200,10800,23965200
ABCAPITAL-I.NFO,12/09/2022,09:40:56,116.55,116.4,10800,116.55,10800,27000,23965200
ABCAPITAL-I.NFO,12/09/2022,09:40:56,116.55,116.4,10800,116.55,10800,0,23965200
ABCAPITAL-I.NFO,12/09/2022,09:41:15,116.55,116.45,5400,116.6,5400,16200,23965200
ABCAPITAL-I.NFO,12/09/2022,09:41:34,116.55,116.4,10800,116.5,5400,0,23965200
ABCAPITAL-I.NFO,12/09/2022,09:41:53,116.5,116.5,5400,116.65,5400,21600,23959800
ABCAPITAL-I.NFO,12/09/2022,09:42:24,116.55,116.5,5400,116.6,5400,5400,23959800
ABCAPITAL-I.NFO,12/09/2022,09:42:49,116.65,116.5,16200,116.65,5400,5400,23959800
ABCAPITAL-I.NFO,12/09/2022,09:42:49,116.65,116.5,16200,116.65,5400,0,23959800
ABCAPITAL-I.NFO,12/09/2022,09:43:09,116.6,116.55,10800,116.65,16200,16200,23959800
ABCAPITAL-I.NFO,12/09/2022,09:43:27,116.6,116.55,21600,116.6,5400,5400,23959800
ABCAPITAL-I.NFO,12/09/2022,09:43:45,116.6,116.55,10800,116.6,5400,16200,23959800
ABCAPITAL-I.NFO,12/09/2022,09:44:04,116.65,116.6,5400,116.7,5400,10800,23959800
ABCAPITAL-I.NFO,12/09/2022,09:44:22,116.6,116.55,10800,116.65,5400,5400,23959800
ABCAPITAL-I.NFO,12/09/2022,09:44:38,116.6,116.55,10800,116.6,5400,0,23959800
ABCAPITAL-I.NFO,12/09/2022,09:44:55,116.55,116.5,5400,116.55,5400,10800,23949000
ABCAPITAL-I.NFO,12/09/2022,09:45:12,116.5,116.4,16200,116.55,5400,16200,23949000
ABCAPITAL-I.NFO,12/09/2022,09:45:29,116.5,116.4,10800,116.55,5400,0,23949000
ABCAPITAL-I.NFO,12/09/2022,09:45:46,116.45,116.35,5400,116.5,5400,5400,23949000
ABCAPITAL-I.NFO,12/09/2022,09:46:02,116.45,116.35,5400,116.5,5400,0,23949000
ABCAPITAL-I.NFO,12/09/2022,09:46:35,116.45,116.35,5400,116.55,5400,0,23949000
ABCAPITAL-I.NFO,12/09/2022,09:46:52,116.45,116.35,10800,116.55,5400,0,23949000
ABCAPITAL-I.NFO,12/09/2022,09:47:07,116.45,116.4,5400,116.55,10800,0,23949000
ABCAPITAL-I.NFO,12/09/2022,09:47:23,116.45,116.4,5400,116.5,5400,10800,23949000
ABCAPITAL-I.NFO,12/09/2022,09:47:43,116.4,116.25,5400,116.45,5400,16200,23959800
ABCAPITAL-I.NFO,12/09/2022,09:48:13,116.4,116.2,5400,116.35,10800,0,23959800
ABCAPITAL-I.NFO,12/09/2022,09:48:36,116.35,116.3,5400,116.5,10800,5400,23959800
ABCAPITAL-I.NFO,12/09/2022,09:48:56,116.35,116.3,5400,116.5,10800,0,23959800
ABCAPITAL-I.NFO,12/09/2022,09:49:14,116.35,116.35,5400,116.5,10800,0,23959800
ABCAPITAL-I.NFO,12/09/2022,09:49:33,116.5,116.35,10800,116.6,5400,10800,23959800
ABCAPITAL-I.NFO,12/09/2022,09:49:59,116.5,116.4,21600,116.55,10800,5400,23959800
ABCAPITAL-I.NFO,12/09/2022,09:50:23,116.5,116.4,16200,116.55,5400,5400,23959800
ABCAPITAL-I.NFO,12/09/2022,09:50:44,116.5,116.45,5400,116.6,5400,0,23959800
ABCAPITAL-I.NFO,12/09/2022,09:51:19,116.45,116.35,5400,116.5,5400,5400,23938200
ABCAPITAL-I.NFO,12/09/2022,09:51:36,116.45,116.35,5400,116.5,5400,0,23938200
ABCAPITAL-I.NFO,12/09/2022,09:51:53,116.65,116.45,10800,116.7,5400,27000,23938200
ABCAPITAL-I.NFO,12/09/2022,09:52:10,116.65,116.5,5400,116.65,5400,0,23938200
ABCAPITAL-I.NFO,12/09/2022,09:52:27,116.7,116.5,5400,116.75,10800,10800,23938200
ABCAPITAL-I.NFO,12/09/2022,09:52:27,116.7,116.5,5400,116.75,10800,0,23938200
ABCAPITAL-I.NFO,12/09/2022,09:52:45,116.7,116.6,5400,116.75,10800,0,23938200
ABCAPITAL-I.NFO,12/09/2022,09:53:01,116.75,116.7,5400,116.8,10800,10800,23938200
ABCAPITAL-I.NFO,12/09/2022,09:53:01,116.75,116.7,5400,116.8,10800,0,23938200
ABCAPITAL-I.NFO,12/09/2022,09:53:19,116.7,116.7,5400,116.85,21600,10800,23938200
ABCAPITAL-I.NFO,12/09/2022,09:53:19,116.8,116.7,5400,116.85,21600,0,23938200
ABCAPITAL-I.NFO,12/09/2022,09:53:36,116.85,116.7,5400,116.85,10800,10800,23927400
ABCAPITAL-I.NFO,12/09/2022,09:53:36,116.85,116.7,5400,116.85,10800,0,23927400
ABCAPITAL-I.NFO,12/09/2022,09:53:51,116.85,116.7,5400,116.75,5400,0,23927400
ABCAPITAL-I.NFO,12/09/2022,09:54:07,116.7,116.65,5400,116.85,10800,5400,23927400
ABCAPITAL-I.NFO,12/09/2022,09:54:25,116.7,116.7,5400,116.85,5400,0,23927400
ABCAPITAL-I.NFO,12/09/2022,09:54:42,116.85,116.75,10800,116.8,5400,5400,23927400
ABCAPITAL-I.NFO,12/09/2022,09:55:08,116.9,116.75,5400,116.9,10800,10800,23927400
ABCAPITAL-I.NFO,12/09/2022,09:55:08,116.9,116.75,5400,116.9,10800,0,23927400
ABCAPITAL-I.NFO,12/09/2022,09:55:34,116.8,116.75,10800,116.9,10800,10800,23927400
ABCAPITAL-I.NFO,12/09/2022,09:55:53,116.8,116.75,10800,116.9,5400,0,23927400
ABCAPITAL-I.NFO,12/09/2022,09:56:11,116.8,116.85,10800,116.9,5400,0,23927400
ABCAPITAL-I.NFO,12/09/2022,09:56:46,117,116.85,5400,117,10800,27000,23922000
ABCAPITAL-I.NFO,12/09/2022,09:56:46,117,116.85,5400,117,10800,0,23922000
ABCAPITAL-I.NFO,12/09/2022,09:57:11,116.9,116.85,10800,117,16200,5400,23922000
